,,,,,,,,
,ID точки,Дата,Входящий остаток (остаток на начало дня),Снятие (выдача наличных клиентам) ,Внесение (депозиты клиентов),Подкрепление (подкрепление отделения / загрузка банкомата службой инкассации),Вывоз (инкассация отделения / разгрузка банкомата),Исходящий остаток (остаток на конец дня)
,Банкомат_1,03.05.2018,3341400,197600,43000,0,0,3186800
,Банкомат_1,04.05.2018,3186800,110500,96000,0,0,3172300
,Банкомат_1,05.05.2018,3172300,90400,55000,0,0,3136900
,Банкомат_1,06.05.2018,3136900,82400,5000,0,0,3059500
,Банкомат_1,07.05.2018,3059500,98000,15000,0,0,2976500
,Банкомат_1,08.05.2018,2976500,104300,55000,0,0,2927200
,Банкомат_1,09.05.2018,2927200,192200,78000,0,0,2813000
,Банкомат_1,10.05.2018,2813000,195100,16000,0,0,2633900
,Банкомат_1,11.05.2018,2633900,161200,90000,0,0,2562700
,Банкомат_1,12.05.2018,2562700,194300,56000,0,0,2424400
,Банкомат_1,13.05.2018,2424400,154700,55000,0,0,2324700
,Банкомат_1,14.05.2018,2324700,106500,2000,0,0,2220200
,Банкомат_1,15.05.2018,2220200,85300,79000,0,0,2213900
,Банкомат_1,16.05.2018,2213900,103100,97000,0,0,2207800
,Банкомат_1,17.05.2018,2207800,86500,64000,0,0,2185300
,Банкомат_1,18.05.2018,2185300,96400,18000,0,0,2106900
,Банкомат_1,19.05.2018,2106900,109900,27000,0,0,2024000
,Банкомат_1,20.05.2018,2024000,95800,6000,0,0,1934200
,Банкомат_1,21.05.2018,1934200,99600,83000,0,0,1917600
,Банкомат_1,22.05.2018,1917600,84200,84000,0,0,1917400
,Банкомат_1,23.05.2018,1917400,91300,66000,0,0,1892100
,Банкомат_1,24.05.2018,1892100,106900,80000,0,0,1865200
,Банкомат_1,25.05.2018,1865200,87000,80000,0,0,1858200
,Банкомат_1,26.05.2018,1858200,87700,72000,0,0,1842500
,Банкомат_1,27.05.2018,1842500,82200,58000,0,0,1818300
,Банкомат_1,28.05.2018,1818300,96500,59000,0,0,1780800
,Банкомат_1,29.05.2018,1780800,84100,54000,0,0,1750700
,Банкомат_1,30.05.2018,1750700,103100,28000,0,0,1675600
,Банкомат_1,31.05.2018,1675600,103200,37000,0,0,1609400
,Банкомат_1,01.06.2018,1609400,187800,45000,0,0,1466600
,Банкомат_1,02.06.2018,1466600,162700,78000,0,0,1381900
,Банкомат_1,03.06.2018,1381900,166800,72000,0,0,1287100
,Банкомат_1,04.06.2018,1287100,86100,75000,0,0,1276000
,Банкомат_1,05.06.2018,1276000,86500,32000,0,0,1221500
,Банкомат_1,06.06.2018,1221500,100300,70000,0,0,1191200
,Банкомат_1,07.06.2018,1191200,107300,29000,0,0,1112900
,Банкомат_1,08.06.2018,1112900,84100,58000,0,0,1086800
,Банкомат_1,09.06.2018,1086800,154400,59000,0,0,991400
,Банкомат_1,10.06.2018,991400,186400,95000,0,0,900000
,Банкомат_1,11.06.2018,900000,195000,49000,0,0,754000
,Банкомат_1,12.06.2018,754000,190900,64000,0,0,627100
,Банкомат_1,13.06.2018,627100,197800,92000,0,0,521300
,Банкомат_1,14.06.2018,521300,105300,18000,0,0,434000
,Банкомат_1,15.06.2018,434000,100200,53000,0,0,386800
,Банкомат_1,16.06.2018,386800,95700,32000,0,0,323100
,Банкомат_1,17.06.2018,323100,84900,92000,0,0,330200
,Банкомат_1,18.06.2018,330200,90100,59000,0,0,299100
,Банкомат_1,19.06.2018,299100,82100,91000,4000000,299100,4008900
,Банкомат_1,20.06.2018,4008900,108400,44000,0,0,3944500
,Банкомат_1,21.06.2018,3944500,109000,37000,0,0,3872500
,Банкомат_1,22.06.2018,3872500,98900,66000,0,0,3839600
,Банкомат_1,23.06.2018,3839600,105700,66000,0,0,3799900
,Банкомат_1,24.06.2018,3799900,87800,56000,0,0,3768100
,Банкомат_1,25.06.2018,3768100,93200,61000,0,0,3735900
,Банкомат_1,26.06.2018,3735900,87300,77000,0,0,3725600
,Банкомат_1,27.06.2018,3725600,97200,10000,0,0,3638400
,Банкомат_1,28.06.2018,3638400,100800,72000,0,0,3609600
,Банкомат_1,29.06.2018,3609600,99500,9000,0,0,3519100
,Банкомат_1,30.06.2018,3519100,80700,61000,0,0,3499400
,Банкомат_1,01.07.2018,3499400,190300,89000,0,0,3398100
,Банкомат_1,02.07.2018,3398100,156400,63000,0,0,3304700
,Банкомат_1,03.07.2018,3304700,188300,28000,0,0,3144400
,Банкомат_1,04.07.2018,3144400,87300,42000,0,0,3099100
,Банкомат_1,05.07.2018,3099100,104300,30000,0,0,3024800
,Банкомат_1,06.07.2018,3024800,95400,53000,0,0,2982400
,Банкомат_1,07.07.2018,2982400,92200,35000,0,0,2925200
,Банкомат_1,08.07.2018,2925200,92700,82000,0,0,2914500
,Банкомат_1,09.07.2018,2914500,155000,73000,0,0,2832500
,Банкомат_1,10.07.2018,2832500,171200,81000,0,0,2742300
,Банкомат_1,11.07.2018,2742300,168800,33000,0,0,2606500
,Банкомат_1,12.07.2018,2606500,191200,51000,0,0,2466300
,Банкомат_1,13.07.2018,2466300,162700,13000,0,0,2316600
,Банкомат_1,14.07.2018,2316600,81000,19000,0,0,2254600
,Банкомат_1,15.07.2018,2254600,96800,9000,0,0,2166800
,Банкомат_1,16.07.2018,2166800,97300,49000,0,0,2118500
,Банкомат_1,17.07.2018,2118500,104300,66000,0,0,2080200
,Банкомат_1,18.07.2018,2080200,82100,53000,0,0,2051100
,Банкомат_1,19.07.2018,2051100,106200,6000,0,0,1950900
,Банкомат_1,20.07.2018,1950900,110700,17000,0,0,1857200
,Банкомат_1,21.07.2018,1857200,93600,20000,0,0,1783600
,Банкомат_1,22.07.2018,1783600,94100,56000,0,0,1745500
,Банкомат_1,23.07.2018,1745500,90200,32000,0,0,1687300
,Банкомат_1,24.07.2018,1687300,107900,50000,0,0,1629400
,Банкомат_1,25.07.2018,1629400,85200,7000,0,0,1551200
,Банкомат_1,26.07.2018,1551200,97500,59000,0,0,1512700
,Банкомат_1,27.07.2018,1512700,81500,2000,0,0,1433200
,Банкомат_1,28.07.2018,1433200,94200,7000,0,0,1346000
,Банкомат_1,29.07.2018,1346000,83200,64000,0,0,1326800
,Банкомат_1,30.07.2018,1326800,85500,19000,0,0,1260300
,Банкомат_1,31.07.2018,1260300,108100,15000,0,0,1167200
,Банкомат_1,01.08.2018,1167200,173000,59000,0,0,1053200
,Банкомат_1,02.08.2018,1053200,153600,23000,0,0,922600
,Банкомат_1,03.08.2018,922600,189700,60000,0,0,792900
,Банкомат_1,04.08.2018,792900,85200,100000,0,0,807700
,Банкомат_1,05.08.2018,807700,85700,29000,0,0,751000
,Банкомат_1,06.08.2018,751000,87900,59000,0,0,722100
,Банкомат_1,07.08.2018,722100,110500,70000,0,0,681600
,Банкомат_1,08.08.2018,681600,83500,5000,0,0,603100
,Банкомат_1,09.08.2018,603100,155200,8000,0,0,455900
,Банкомат_1,10.08.2018,455900,182600,2000,0,0,275300
,Банкомат_1,11.08.2018,275300,159400,76000,4000000,275300,3916600
,Банкомат_1,12.08.2018,3916600,150600,96000,0,0,3862000
,Банкомат_1,13.08.2018,3862000,151700,65000,0,0,3775300
,Банкомат_1,14.08.2018,3775300,111900,98000,0,0,3761400
,Банкомат_1,15.08.2018,3761400,84700,91000,0,0,3767700
,Банкомат_1,16.08.2018,3767700,82400,35000,0,0,3720300
,Банкомат_1,17.08.2018,3720300,81100,93000,0,0,3732200
,Банкомат_1,18.08.2018,3732200,91200,55000,0,0,3696000
,Банкомат_1,19.08.2018,3696000,88200,39000,0,0,3646800
,Банкомат_1,20.08.2018,3646800,94500,34000,0,0,3586300
,Банкомат_1,21.08.2018,3586300,90100,95000,0,0,3591200
,Банкомат_1,22.08.2018,3591200,109100,70000,0,0,3552100
,Банкомат_1,23.08.2018,3552100,90000,85000,0,0,3547100
,Банкомат_1,24.08.2018,3547100,96000,99000,0,0,3550100
,Банкомат_1,25.08.2018,3550100,99100,44000,0,0,3495000
,Банкомат_1,26.08.2018,3495000,102000,63000,0,0,3456000
,Банкомат_1,27.08.2018,3456000,87800,33000,0,0,3401200
,Банкомат_1,28.08.2018,3401200,110300,9000,0,0,3299900
,Банкомат_1,29.08.2018,3299900,106800,28000,0,0,3221100
,Банкомат_1,30.08.2018,3221100,91100,47000,0,0,3177000
,Банкомат_1,31.08.2018,3177000,98200,7000,0,0,3085800
,Банкомат_1,01.09.2018,3085800,184000,83000,0,0,2984800
,Банкомат_1,02.09.2018,2984800,188200,34000,0,0,2830600
,Банкомат_1,03.09.2018,2830600,144200,35000,0,0,2721400
,Банкомат_1,04.09.2018,2721400,107900,78000,0,0,2691500
,Банкомат_1,05.09.2018,2691500,103000,37000,0,0,2625500
,Банкомат_1,06.09.2018,2625500,96600,12000,0,0,2540900
,Банкомат_1,07.09.2018,2540900,87400,48000,0,0,2501500
,Банкомат_1,08.09.2018,2501500,103100,30000,0,0,2428400
,Банкомат_1,09.09.2018,2428400,142500,8000,0,0,2293900
,Банкомат_1,10.09.2018,2293900,160100,74000,0,0,2207800
,Банкомат_1,11.09.2018,2207800,163500,52000,0,0,2096300
,Банкомат_1,12.09.2018,2096300,177900,38000,0,0,1956400
,Банкомат_1,13.09.2018,1956400,181600,31000,0,0,1805800
,Банкомат_1,14.09.2018,1805800,106700,58000,0,0,1757100
,Банкомат_1,15.09.2018,1757100,83800,9000,0,0,1682300
,Банкомат_1,16.09.2018,1682300,88700,71000,0,0,1664600
,Банкомат_1,17.09.2018,1664600,106000,50000,0,0,1608600
,Банкомат_1,18.09.2018,1608600,100900,39000,0,0,1546700
,Банкомат_1,19.09.2018,1546700,97800,84000,0,0,1532900
,Банкомат_1,20.09.2018,1532900,88000,78000,0,0,1522900
,Банкомат_1,21.09.2018,1522900,92300,78000,0,0,1508600
,Банкомат_1,22.09.2018,1508600,83200,60000,0,0,1485400
,Банкомат_1,23.09.2018,1485400,90400,75000,0,0,1470000
,Банкомат_1,24.09.2018,1470000,101700,86000,0,0,1454300
,Банкомат_1,25.09.2018,1454300,80700,34000,0,0,1407600
,Банкомат_1,26.09.2018,1407600,88000,23000,0,0,1342600
,Банкомат_1,27.09.2018,1342600,81300,98000,0,0,1359300
,Банкомат_1,28.09.2018,1359300,101600,29000,0,0,1286700
,Банкомат_1,29.09.2018,1286700,100200,7000,0,0,1193500
,Банкомат_1,30.09.2018,1193500,107100,36000,0,0,1122400
,Банкомат_1,01.10.2018,1122400,161900,51000,0,0,1011500
,Банкомат_1,02.10.2018,1011500,176700,28000,0,0,862800
,Банкомат_1,03.10.2018,862800,175200,78000,0,0,765600
,Банкомат_1,04.10.2018,765600,100200,16000,0,0,681400
,Банкомат_1,05.10.2018,681400,82200,94000,0,0,693200
,Банкомат_1,06.10.2018,693200,101800,87000,0,0,678400
,Банкомат_1,07.10.2018,678400,103100,10000,0,0,585300
,Банкомат_1,08.10.2018,585300,97000,32000,0,0,520300
,Банкомат_1,09.10.2018,520300,187500,56000,0,0,388800
,Банкомат_1,10.10.2018,388800,166900,68000,0,0,289900
,Банкомат_1,11.10.2018,289900,147000,11000,4000000,289900,3864000
,Банкомат_1,12.10.2018,3864000,176200,48000,0,0,3735800
,Банкомат_1,13.10.2018,3735800,188200,62000,0,0,3609600
,Банкомат_1,14.10.2018,3609600,96900,67000,0,0,3579700
,Банкомат_1,15.10.2018,3579700,89700,71000,0,0,3561000
,Банкомат_1,16.10.2018,3561000,101900,3000,0,0,3462100
,Банкомат_1,17.10.2018,3462100,101600,81000,0,0,3441500
,Банкомат_1,18.10.2018,3441500,89500,8000,0,0,3360000
,Банкомат_1,19.10.2018,3360000,110900,24000,0,0,3273100
,Банкомат_1,20.10.2018,3273100,84100,66000,0,0,3255000
,Банкомат_1,21.10.2018,3255000,103400,57000,0,0,3208600
,Банкомат_1,22.10.2018,3208600,93300,55000,0,0,3170300
,Банкомат_1,23.10.2018,3170300,91700,40000,0,0,3118600
,Банкомат_1,24.10.2018,3118600,83500,16000,0,0,3051100
,Банкомат_1,25.10.2018,3051100,110200,89000,0,0,3029900
,Банкомат_1,26.10.2018,3029900,80400,73000,0,0,3022500
,Банкомат_1,27.10.2018,3022500,107700,28000,0,0,2942800
,Банкомат_1,28.10.2018,2942800,111500,17000,0,0,2848300
,Банкомат_1,29.10.2018,2848300,85200,25000,0,0,2788100
,Банкомат_1,30.10.2018,2788100,101800,58000,0,0,2744300
,Банкомат_1,31.10.2018,2744300,90800,52000,0,0,2705500
,Банкомат_1,01.11.2018,2705500,145800,21000,0,0,2580700
,Банкомат_1,02.11.2018,2580700,151800,36000,0,0,2464900
,Банкомат_1,03.11.2018,2464900,173000,81000,0,0,2372900
,Банкомат_1,04.11.2018,2372900,107600,38000,0,0,2303300
,Банкомат_1,05.11.2018,2303300,84900,18000,0,0,2236400
,Банкомат_1,06.11.2018,2236400,92900,42000,0,0,2185500
,Банкомат_1,07.11.2018,2185500,111300,34000,0,0,2108200
,Банкомат_1,08.11.2018,2108200,104300,36000,0,0,2039900
,Банкомат_1,09.11.2018,2039900,169000,88000,0,0,1958900
,Банкомат_1,10.11.2018,1958900,180100,99000,0,0,1877800
,Банкомат_1,11.11.2018,1877800,185900,71000,0,0,1762900
,Банкомат_1,12.11.2018,1762900,155700,28000,0,0,1635200
,Банкомат_1,13.11.2018,1635200,150400,72000,0,0,1556800
,Банкомат_1,14.11.2018,1556800,80100,83000,0,0,1559700
,Банкомат_1,15.11.2018,1559700,105000,85000,0,0,1539700
,Банкомат_1,16.11.2018,1539700,102800,19000,0,0,1455900
,Банкомат_1,17.11.2018,1455900,84700,83000,0,0,1454200
,Банкомат_1,18.11.2018,1454200,111600,66000,0,0,1408600
,Банкомат_1,19.11.2018,1408600,106500,93000,0,0,1395100
,Банкомат_1,20.11.2018,1395100,88500,14000,0,0,1320600
,Банкомат_1,21.11.2018,1320600,98100,64000,0,0,1286500
,Банкомат_1,22.11.2018,1286500,100300,85000,0,0,1271200
,Банкомат_1,23.11.2018,1271200,109000,72000,0,0,1234200
,Банкомат_1,24.11.2018,1234200,91700,53000,0,0,1195500
,Банкомат_1,25.11.2018,1195500,86500,61000,0,0,1170000
,Банкомат_1,26.11.2018,1170000,89200,71000,0,0,1151800
,Банкомат_1,27.11.2018,1151800,104100,7000,0,0,1054700
,Банкомат_1,28.11.2018,1054700,95400,26000,0,0,985300
,Банкомат_1,29.11.2018,985300,91300,98000,0,0,992000
,Банкомат_1,30.11.2018,992000,110500,36000,0,0,917500
,Банкомат_1,01.12.2018,917500,153300,18000,0,0,782200
,Банкомат_1,02.12.2018,782200,187400,8000,0,0,602800
,Банкомат_1,03.12.2018,602800,176400,30000,0,0,456400
,Банкомат_1,04.12.2018,456400,83600,83000,0,0,455800
,Банкомат_1,05.12.2018,455800,107600,100000,0,0,448200
,Банкомат_1,06.12.2018,448200,93700,23000,0,0,377500
,Банкомат_1,07.12.2018,377500,96400,1000,0,0,282100
,Банкомат_1,08.12.2018,282100,104700,12000,4000000,282100,3907300
,Банкомат_1,09.12.2018,3907300,182800,28000,0,0,3752500
,Банкомат_1,10.12.2018,3752500,140200,23000,0,0,3635300
,Банкомат_1,11.12.2018,3635300,143600,94000,0,0,3585700
,Банкомат_1,12.12.2018,3585700,161000,87000,0,0,3511700
,Банкомат_1,13.12.2018,3511700,159300,46000,0,0,3398400
,Банкомат_1,14.12.2018,3398400,100500,52000,0,0,3349900
,Банкомат_1,15.12.2018,3349900,101900,29000,0,0,3277000
,Банкомат_1,16.12.2018,3277000,95500,67000,0,0,3248500
,Банкомат_1,17.12.2018,3248500,84500,13000,0,0,3177000
,Банкомат_1,18.12.2018,3177000,103700,85000,0,0,3158300
,Банкомат_1,19.12.2018,3158300,102900,73000,0,0,3128400
,Банкомат_1,20.12.2018,3128400,87300,49000,0,0,3090100
,Банкомат_1,21.12.2018,3090100,111500,9000,0,0,2987600
,Банкомат_1,22.12.2018,2987600,92900,52000,0,0,2946700
,Банкомат_1,23.12.2018,2946700,103300,14000,0,0,2857400
,Банкомат_1,24.12.2018,2857400,96100,65000,0,0,2826300
,Банкомат_1,25.12.2018,2826300,111000,27000,0,0,2742300
,Банкомат_1,26.12.2018,2742300,80100,56000,0,0,2718200
,Банкомат_1,27.12.2018,2718200,102000,1000,0,0,2617200
,Банкомат_1,28.12.2018,2617200,97900,78000,0,0,2597300
,Банкомат_1,29.12.2018,2597300,89500,17000,0,0,2524800
,Банкомат_1,30.12.2018,2524800,109300,26000,0,0,2441500
,Банкомат_1,31.12.2018,2441500,83500,43000,0,0,2401000
,Банкомат_2,01.01.2018,3130000,106200,4000,0,0,3027800
,Банкомат_2,02.01.2018,3027800,148900,76000,0,0,2954900
,Банкомат_2,03.01.2018,2954900,134400,21000,0,0,2841500
,Банкомат_2,04.01.2018,2841500,66800,55000,0,0,2829700
,Банкомат_2,05.01.2018,2829700,69200,93000,0,0,2853500
,Банкомат_2,06.01.2018,2853500,68500,93000,0,0,2878000
,Банкомат_2,07.01.2018,2878000,65000,82000,0,0,2895000
,Банкомат_2,08.01.2018,2895000,64200,89000,0,0,2919800
,Банкомат_2,09.01.2018,2919800,139400,63000,0,0,2843400
,Банкомат_2,10.01.2018,2843400,142700,66000,0,0,2766700
,Банкомат_2,11.01.2018,2766700,107700,10000,0,0,2669000
,Банкомат_2,12.01.2018,2669000,139200,23000,0,0,2552800
,Банкомат_2,13.01.2018,2552800,109000,69000,0,0,2512800
,Банкомат_2,14.01.2018,2512800,74400,99000,0,0,2537400
,Банкомат_2,15.01.2018,2537400,60300,32000,0,0,2509100
,Банкомат_2,16.01.2018,2509100,64500,69000,0,0,2513600
,Банкомат_2,17.01.2018,2513600,80100,81000,0,0,2514500
,Банкомат_2,18.01.2018,2514500,62600,72000,0,0,2523900
,Банкомат_2,19.01.2018,2523900,78300,61000,0,0,2506600
,Банкомат_2,20.01.2018,2506600,67100,57000,0,0,2496500
,Банкомат_2,21.01.2018,2496500,74500,76000,0,0,2498000
,Банкомат_2,22.01.2018,2498000,72000,37000,0,0,2463000
,Банкомат_2,23.01.2018,2463000,68100,46000,0,0,2440900
,Банкомат_2,24.01.2018,2440900,78200,48000,0,0,2410700
,Банкомат_2,25.01.2018,2410700,65500,10000,0,0,2355200
,Банкомат_2,26.01.2018,2355200,70000,64000,0,0,2349200
,Банкомат_2,27.01.2018,2349200,81200,34000,0,0,2302000
,Банкомат_2,28.01.2018,2302000,78000,35000,0,0,2259000
,Банкомат_2,29.01.2018,2259000,78700,10000,0,0,2190300
,Банкомат_2,30.01.2018,2190300,77500,25000,0,0,2137800
,Банкомат_2,31.01.2018,2137800,81300,32000,0,0,2088500
,Банкомат_2,01.02.2018,2088500,109600,26000,0,0,2004900
,Банкомат_2,02.02.2018,2004900,115100,63000,0,0,1952800
,Банкомат_2,03.02.2018,1952800,132700,13000,0,0,1833100
,Банкомат_2,04.02.2018,1833100,78300,82000,0,0,1836800
,Банкомат_2,05.02.2018,1836800,66900,28000,0,0,1797900
,Банкомат_2,06.02.2018,1797900,78400,65000,0,0,1784500
,Банкомат_2,07.02.2018,1784500,64000,85000,0,0,1805500
,Банкомат_2,08.02.2018,1805500,75900,23000,0,0,1752600
,Банкомат_2,09.02.2018,1752600,106400,69000,0,0,1715200
,Банкомат_2,10.02.2018,1715200,136800,85000,0,0,1663400
